ordem,municipio,portal_oficial,url_informada,url_final_ou_tentada,titulo,status,caminho,evidencia,data_verificacao
"67","Mirassol d’Oeste","https://www.mirassoldoeste.mt.gov.br/","https://www.mirassoldoeste.mt.gov.br/","https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","FlowDocs - MIRASSOL D OESTE","PORTAL_INTERMEDIARIO_SELECAO_SERVICO","Formulário eletrônico → Reclamação → Selecione um assunto","Fluxo Ouvidoria → Reclamação → Assunto → Identificação → Formulário → Fim; exige escolha de assunto antes do formulário.","2026-09-21"
"68","Nobres","https://www.nobres.mt.gov.br/","https://ouvidoria.nobres.mt.gov.br/","https://ouvidoria.nobres.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nobres","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação, identificado/anônimo, tipos, contato, textarea e Enviar; reCAPTCHA indicado.","2026-09-21"
"69","Nortelândia","https://www.nortelandia.mt.gov.br/","https://ouvidoria.nortelandia.mt.gov.br/","https://ouvidoria.nortelandia.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Nortelândia - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário com identificada/anônima, tipos, nome/e-mail/telefone e campo da manifestação.","2026-09-21"
"70","Nossa Senhora do Livramento","https://www.nossasenhoradolivramento.mt.gov.br/","https://ouvidoria.nossasenhoradolivramento.mt.gov.br/","https://ouvidoria.nossasenhoradolivramento.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nossa Senhora do Livramento","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário de registro, contatos, tipo de manifestação e envio.","2026-09-21"
"71","Nova Bandeirantes","https://www.novabandeirantes.mt.gov.br/","https://ouvidoria.novabandeirantes.mt.gov.br/","https://ouvidoria.novabandeirantes.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Nova Bandeirantes","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Registro identificado/anônimo, tipos, contatos, texto, anexo e Enviar.","2026-09-21"
"72","Nova Brasilândia","https://www.novabrasilandia.mt.gov.br/","https://ouvidoria.novabrasilandia.mt.gov.br/","https://ouvidoria.novabrasilandia.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Brasilândia","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Registro identificado/anônimo, tipos, contatos, texto e Enviar.","2026-09-21"
"73","Nova Canaã do Norte","https://www.novacanaadonorte.mt.gov.br/home","https://www.novacanaadonorte.mt.gov.br/","https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","FlowDocs - NOVA CANAÃ DO NORTE","PORTAL_INTERMEDIARIO_SELECAO_SERVICO","Portal municipal → Ouvidoria → FlowDocs","Fluxo exige selecionar tipo de manifestação, secretaria e assunto; etapas Grupo → Assunto → Identificação → Formulário. Nenhuma opção arbitrária escolhida.","2026-09-21"
"74","Nova Guarita","https://www.novaguarita.mt.gov.br/","https://ouvidoria.novaguarita.mt.gov.br/","https://ouvidoria.novaguarita.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Guarita MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastro com tipo, contato, texto/anexo e botão Enviar.","2026-09-21"
"75","Nova Lacerda","https://www.novalacerda.mt.gov.br/Home/","https://ouvidoria.novalacerda.mt.gov.br/","https://ouvidoria.novalacerda.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Nova Lacerda - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastro online com tipo de contato/manifestação e campo de texto.","2026-09-21"
"76","Nova Marilândia","https://www.novamarilandia.mt.gov.br/","https://ouvidoria.novamarilandia.mt.gov.br/","https://ouvidoria.novamarilandia.mt.gov.br/Manifestacao/","Ouvidoria Prefeitura de Nova Marilândia - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, identificada/anônima, contato/localização, texto, anexo e Enviar.","2026-09-21"
"77","Nova Maringá","https://www.novamaringa.mt.gov.br/","https://ouvidoria.novamaringa.mt.gov.br/","https://ouvidoria.novamaringa.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Maringá","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Identificada/anônima, tipo, dados de contato, manifestação, anexo e Enviar.","2026-09-21"
"78","Nova Monte Verde","https://www.novamonteverde.mt.gov.br/","https://ouvidoria.novamonteverde.mt.gov.br/","https://ouvidoria.novamonteverde.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Monte Verde","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário com tipo, contato, manifestação e envio.","2026-09-21"
"79","Nova Mutum","https://www.novamutum.mt.gov.br/home","https://servicos.novamutum.mt.gov.br/servico/24/ouvidoria-municipal","https://prefnm.ouvidoriabr.com/protocolo/novo/2","Ouvidoria da Prefeitura de Nova Mutum","FORMULARIO_FINAL_CONFIRMADO","Link da planilha bloqueado → Portal municipal → OuvidoriaBR → Novo Protocolo → Reclamação","O link da planilha falhou com ERR_CERT_COMMON_NAME_INVALID; no portal municipal foi observado outro link de Ouvidoria que leva a Novo Protocolo/Reclamação com nome, e-mail, CPF, mensagem, anexo e Salvar.","2026-09-21"
"80","Nova Nazaré","https://www.novanazare.mt.gov.br/","https://ouvidoria.novanazare.mt.gov.br/","https://ouvidoria.novanazare.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Nazaré","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário de cadastro com tipos, contato, textarea e Enviar.","2026-09-21"
"81","Nova Olímpia","https://www.novaolimpia.mt.gov.br/","https://www.novaolimpia.mt.gov.br/","https://ouvidoria.novaolimpia.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Olímpia","FORMULARIO_FINAL_CONFIRMADO","Portal → Acesso à Ouvidoria → Ouvidoria Online → Acessar","Formulário de manifestação com tipo, identificação/contato, texto, anexo e Enviar.","2026-09-21"
"82","Nova Santa Helena","https://www.novasantahelena.mt.gov.br/","https://ouvidoria.novasantahelena.mt.gov.br/","https://ouvidoria.novasantahelena.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Nova Santa Helena","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário de cadastro e envio de manifestação.","2026-09-21"
"83","Nova Ubiratã","https://www.novaubirata.mt.gov.br/","https://www.novaubirata.mt.gov.br/ouvidoria","https://www.novaubirata.mt.gov.br/ouvidoria","","SEM_CONTEUDO_VISIVEL","Portal oficial → Ouvidoria → mesma rota sem renderização","Link da planilha e link publicado no portal apontam para a mesma rota; navegação direta e pelo menu ficaram sem DOM/conteúdo.","2026-09-21"
"84","Nova Xavantina","https://www.novaxavantina.mt.gov.br/","https://ouvidoria.novaxavantina.mt.gov.br/","https://ouvidoria.novaxavantina.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Nova Xavantina MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastro de manifestação, contato, texto, anexo e envio.","2026-09-21"
"85","Novo Horizonte do Norte","https://www.novohorizontedonorte.mt.gov.br/transparencia","https://www.novohorizontedonorte.mt.gov.br/","https://prefnhn.ouvidoriabr.com/protocolo/novo/218","Ouvidoria da Prefeitura de Novo Horizonte do Norte","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Novo Protocolo → Reclamação","Novo Protocolo/Reclamação com nome, e-mail, CPF, mensagem e anexo.","2026-09-21"
"86","Novo Mundo","https://www.novomundo.mt.gov.br/","https://ouvidoria.novomundo.mt.gov.br/","https://ouvidoria.novomundo.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Novo Mundo","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Tipo de manifestação, contato, texto e reCAPTCHA.","2026-09-21"
"87","Novo Santo Antônio","https://www.novosantoantonio.mt.gov.br/","https://ouvidoria.novosantoantonio.mt.gov.br/Carta-Servicos/Servico/Ouvidoria-municipal-1711/","https://ouvidoria.novosantoantonio.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Novo Santo Antônio","FORMULARIO_FINAL_CONFIRMADO","Carta de Serviços → link de manifestação","Página de manifestação, opções de registro, contato e texto; destino aberto a partir da Carta de Serviços.","2026-09-21"
"88","Novo São Joaquim","https://www.novosaojoaquim.mt.gov.br/","https://www.novosaojoaquim.mt.gov.br/","https://www.portalcr2.com.br/ouvidoria/ouvidoria-novo-sao-joaquim","Ouvidoria | Prefeitura Municipal de Novo São Joaquim - MT (2025-2028)","NAO_VERIFICAVEL","Portal oficial → Ouvidoria (página CR2 sem canal de manifestação evidente)","Página identifica a Ouvidoria, mas mostra apenas links Portal/Radar/Área Administrativa e dois inputs de arquivo; não confirmou formulário público de manifestação.","2026-09-21"
"89","Paranatinga","https://www.paranatinga.mt.gov.br/","https://ouvidoria.paranatinga.mt.gov.br/","https://ouvidoria.paranatinga.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Paranatinga","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Tipo, contato, mensagem e reCAPTCHA.","2026-09-21"
"90","Paranaíta","https://www.paranaita.mt.gov.br/","https://www.paranaita.mt.gov.br/Secretarias/Ouvidoria-geral-do-municipio","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Fala.BR → Cidadãos → Registrar Manifestação","Link oficial leva ao Fala.BR; cartão Cidadãos abre etapa Relato com textarea e anexo opcional, sem órgão municipal pré-selecionado. Exige autenticação Gov.br; nenhum dado inserido.","2026-09-21"
"91","Pedra Preta","https://www.pedrapreta.mt.gov.br/","https://ouvidoria.pedrapreta.mt.gov.br/","https://ouvidoria.pedrapreta.mt.gov.br/Manifestacao/","Ouvidoria e Carta de Serviço - Prefeitura de Pedra Preta","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Identificada/anônima, tipo, nome/e-mail/telefone, sigilo, manifestação/anexo e reCAPTCHA.","2026-09-21"
"92","Peixoto de Azevedo","https://www.peixotodeazevedo.mt.gov.br/","https://ouvidoria.peixotodeazevedo.mt.gov.br/","https://ouvidoria.peixotodeazevedo.mt.gov.br/Manifestacao/","Ouvidoria e Carta de Serviço - Prefeitura de Peixoto de Azevedo","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Identificada/anônima, tipo, identificação, sigilo, mensagem/anexo e reCAPTCHA.","2026-09-21"
"93","Planalto da Serra","https://www.planaltodaserra.mt.gov.br","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","OUVIDORIA :: PREFEITURA PLANALTO DA SERRA","FORMULARIO_FINAL_CONFIRMADO","URL da planilha já abre o formulário","A própria página antiga Webnode contém instruções de Ouvidoria e campos Nome/E-mail/Assunto/Mensagem com Enviar.","2026-09-21"
"94","Poconé","https://www.pocone.mt.gov.br/","https://www.pocone.mt.gov.br/portal/faq","https://www.pocone.mt.gov.br/portal/ouvidoria/cadastro/1","Prefeitura de Poconé - MT","FORMULARIO_FINAL_CONFIRMADO","FAQ → Ouvidoria Geral → Denúncia → Cadastrar Manifestação","Cadastrar Manifestação com setor/assunto/resposta, texto, anexo e dados do local; o cartão diz Denúncia, mas o formulário abriu com tipo Solicitação.","2026-09-21"
"95","Pontal do Araguaia","https://www.pontaldoaraguaia.mt.gov.br/","https://www.pontaldoaraguaia.mt.gov.br/fale-conosco/","https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","Solicitação - Prefeitura de Pontal do Araguaia - MT","PORTAL_INTERMEDIARIO_SOLICITACAO","Fale Conosco → Ouvidoria e Atendimento → Acessar","Fluxo etapa 1/3 Solicitação, seguido por Identificação e Enviar; nesta etapa não há campos de relato visíveis, portanto formulário completo não foi confirmado.","2026-09-21"
"96","Ponte Branca","https://www.prefeituradepontebranca-mt.com.br/","https://www.prefeituradepontebranca-mt.com.br/","https://www.prefeituradepontebranca-mt.com.br/contato","","CANAL_OFICIAL_SEM_FORMULARIO","Portal → Contato/Criação da Ouvidoria (e-mail e telefone)","Portal oficial publica e-mail ouvidoria@prefeituradepontebranca-mt.com.br e telefone; formulário de Contato genérico não identifica setor de Ouvidoria.","2026-09-21"
"97","Pontes e Lacerda","https://www.ponteselacerda.mt.gov.br/","https://www.ponteselacerda.mt.gov.br/","https://ponteselacerda.ouvidoriabr.com/protocolo/novo/234","Ouvidoria da Prefeitura de Pontes e Lacerda","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Novo Protocolo → Reclamação","Novo Protocolo/Reclamação com identificação opcional, nome/e-mail/CPF/telefone, setor, mensagem e anexo.","2026-09-21"
"98","Porto Alegre do Norte","https://www.portoalegredonorte.mt.gov.br/home","https://ouvidoria.portoalegredonorte.mt.gov.br/","https://ouvidoria.portoalegredonorte.mt.gov.br/Manifestacao/","Ouvidoria Porto Alegre do Norte - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário com contato/tipo, manifestação, anexo e reCAPTCHA.","2026-09-21"
"99","Porto Esperidião","https://www.portoesperidiao.mt.gov.br/","https://ouvidoria.portoesperidiao.mt.gov.br/","https://ouvidoria.portoesperidiao.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Porto Esperidião","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, tipos de manifestação e campos de identificação/contato.","2026-09-21"
"100","Porto Estrela","https://www.portoestrela.mt.gov.br/","https://portoestrela.dinamikasistemas.com.br/ouvidoria","https://portoestrela.dinamikasistemas.com.br/ouvidoria/manifestacao","Ouvidoria | Manifestações | Prefeitura Municipal de Porto Estrela","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Acessar","Registrar Manifestação, categorias e campos nome/e-mail/telefone.","2026-09-21"
"101","Porto dos Gaúchos","https://www.portodosgauchos.mt.gov.br/","https://ouvidoria.portodosgauchos.mt.gov.br/","https://ouvidoria.portodosgauchos.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Porto dos Gaúchos - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, tipo, contato, nome e e-mail.","2026-09-21"
"102","Poxoréu","https://www.poxoreu.mt.gov.br/","https://ouvidoria.poxoreu.mt.gov.br/","https://ouvidoria.poxoreu.mt.gov.br/Manifestacao/","Ouvidoria Prefeitura de Poxoréu - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, tipos e dados do manifestante.","2026-09-21"
"103","Primavera do Leste","https://primaveradoleste.mt.gov.br/","https://cartadeservicos.primaveradoleste.mt.gov.br/Carta-Servicos/Servico/Ouvidoria-municipal-3272","https://cartadeservicos.primaveradoleste.mt.gov.br/Carta-Servicos/Servico/Ouvidoria-municipal-3272","","CANAL_OFICIAL_SEM_FORMULARIO","Carta de Serviços → Ouvidoria Municipal","Página oficial de serviço da Ouvidoria, sem link para formulário digital; lista telefone, e-mail e endereço.","2026-09-21"
"104","Querência","https://www.querencia.mt.gov.br/","https://ouvidoria.querencia.mt.gov.br/","https://ouvidoria.querencia.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Querência","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, tipos de contato e campos de formulário.","2026-09-21"
"105","Reserva do Cabaçal","https://www.reservadocabacal.mt.gov.br/","https://reservadocabacal.mt.gov.br/ouvidoria/","https://reservadocabacal.mt.gov.br/ouvidoria/formulario-on-line","Ouvidoria da Prefeitura Municipal de Reserva do Cabaçal","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Novo Chamado/Formulário On-line","Formulário para Envio de Manifestações, modalidade anônima/identificada e tipo de manifestação.","2026-09-21"
"106","Ribeirão Cascalheira","https://www.ribeiraocascalheira.mt.gov.br/","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","Novo Protocolo","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria municipal → Novo Protocolo","Link oficial GWS; a navegação por “Novo Protocolo” abriu o formulário de manifestação com cadastro, departamento, assunto, mensagem e prioridade.","2026-09-21"
"107","Ribeirãozinho","https://www.ribeiraozinho.mt.gov.br","https://www.ribeiraozinho.mt.gov.br/portal/ouvidoria","https://www.ribeiraozinho.mt.gov.br/portal/ouvidoria/cadastro/1","Prefeitura Municipal de Ribeirãozinho - MT","FORMULARIO_FINAL_CONFIRMADO","Portal municipal → Ouvidoria → Denúncia","Portal oficial → Ouvidoria → Denúncia; abriu formulário municipal com tipo, sigilo, secretaria, assunto, manifestação e anexos. CAPTCHA visível, não resolvido.","2026-09-21"
"108","Rio Branco","https://riobranco.mt.gov.br/","https://www.riobranco.mt.gov.br/ouvidoria/","https://www.riobranco.mt.gov.br/ouvidoria/formulario-on-line","Prefeitura Municipal de Rio Branco","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Novo Chamado","Formulário de envio com modalidade anônima/identificada, tipo de manifestação e órgão destinatário.","2026-09-21"
"109","Rondolândia","https://rondolandia.mt.gov.br","https://rondolandia.mt.gov.br/","https://rondolandia.mt.gov.br/ouvidoria?tipo=1","Prefeitura Municipal de Rondolândia","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Reclamação","Formulário de reclamação com setor, nome, CPF/CNPJ, telefone/e-mail e mensagem.","2026-09-21"
"110","Rondonópolis","https://www.rondonopolis.mt.gov.br/","https://www.rondonopolis.mt.gov.br/ouvidoria/","https://rondonopolis.ouvidoriabr.com/protocolo/novo/248","Ouvidoria da Prefeitura de Rondonópolis","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Sistema Ouvidoria Online → Novo Protocolo","Novo Protocolo/Reclamação com identificação, CPF, mensagem, anexos e Salvar.","2026-09-21"
"111","Rosário Oeste","https://www.rosariooeste.mt.gov.br/","https://www.rosariooeste.mt.gov.br/","https://www.gp.srv.br/ouvidoria/rosariooeste/#/portal/1/manifestacao","Portal Ouvidoria | PREFEITURA MUNICIPAL DE ROSÁRIO OESTE","FORMULARIO_FINAL_CONFIRMADO","Portal → Banner Ouvidoria → GP.SRV → Registre sua Manifestação","Assunto/tipo, dados do solicitante e descrição em formulário de manifestação.","2026-09-21"
"112","Salto do Céu","https://saltodoceu.mt.gov.br/","https://saltodoceu.mt.gov.br/ouvidoria/","https://saltodoceu.mt.gov.br/ouvidoria/formulario-on-line","Prefeitura Municipal de Salto do Céu","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria → Novo Chamado/Formulário On-line","Formulário com anônimo/identificado, tipo, órgão/setor e campos do relato.","2026-09-21"
"113","Santa Carmem","https://www.santacarmem.mt.gov.br/","https://ouvidoria.santacarmem.mt.gov.br/","https://ouvidoria.santacarmem.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Santa Carmem","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipo de contato e tipo de manifestação e campos de identificação.","2026-09-21"
"114","Santa Cruz do Xingu","https://www.santacruzdoxingu.mt.gov.br/","https://ouvidoria.santacruzdoxingu.mt.gov.br/","https://ouvidoria.santacruzdoxingu.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Santa Cruz do Xingu","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipos de contato e campos de identificação.","2026-09-21"
"115","Santa Rita do Trivelato","https://www.santaritadotrivelato.mt.gov.br/home","https://www.santaritadotrivelato.mt.gov.br/","https://prefsrt.ouvidoriabr.com/protocolo/novo/35","Ouvidoria da Prefeitura de Santa Rita do Trivelato","FORMULARIO_FINAL_CONFIRMADO","Portal municipal → Ouvidoria → Novo Protocolo","Novo Protocolo/Reclamação com nome, e-mail, CPF, mensagem e Salvar.","2026-09-21"
"116","Santa Terezinha","https://santaterezinha.mt.gov.br/","https://ouvidoria.santaterezinha.mt.gov.br/","https://ouvidoria.santaterezinha.mt.gov.br/ouvidoria/form","Ouvidoria - Prefeitura Municipal de Santa Terezinha","FORMULARIO_FINAL_CONFIRMADO","Raiz Ouvidoria → Ouvidoria → Nova manifestação","Nova manifestação com tipo, forma de identificação/retorno, descrição e órgão.","2026-09-21"
"117","Santo Afonso","https://www.santoafonso.mt.gov.br/","https://santoafonso.mt.gov.br/ouvidoria","https://santoafonso.mt.gov.br/ouvidoria/manifestacao","Ouvidoria - Prefeitura Municipal de Santo Afonso","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria → Registrar Manifestação","Registrar Manifestação, tipos e campos Nome/E-mail/Telefone.","2026-09-21"
"118","Santo Antônio de Leverger","https://www.leverger.mt.gov.br/","https://ouvidoria.leverger.mt.gov.br/","https://ouvidoria.leverger.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Santo Antônio de Leverger","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipos e campos Nome/E-mail/Telefone.","2026-09-21"
"119","Santo Antônio do Leste","https://www.santoantoniodoleste.mt.gov.br/","https://ouvidoria.santoantoniodoleste.mt.gov.br/","https://ouvidoria.santoantoniodoleste.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Santo Antônio do Leste","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipos e campos de contato.","2026-09-21"
"120","Sapezal","https://www.sapezal.mt.gov.br/","https://www.sapezal.mt.gov.br/portal/servicos/32/canal-da-ouvidoria","https://www.sapezal.mt.gov.br/portal/ouvidoria/cadastro/1","","PORTAL_INTERMEDIARIO_LOGIN","/portal/ouvidoria → Denúncia → cadastro/1","Denúncia abre instruções de cadastro, mas Cadastrar Manifestação retorna à lista; o portal indica login para alguns tipos. Formulário genérico não confirmado.","2026-09-21"
"121","Serra Nova Dourada","https://serranovadourada.mt.gov.br/","https://ouvidoria.serranovadourada.mt.gov.br/","https://ouvidoria.serranovadourada.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Serra Nova Dourada","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, tipos e campos de contato.","2026-09-21"
"122","Sinop","https://www.sinop.mt.gov.br/","https://www.sinop.mt.gov.br/portal/secretarias/19/ouvidoria-geral","https://www.gp.srv.br/ouvidoria/sinop/#/portal/1/manifestacao","Portal Ouvidoria | PREFEITURA MUNICIPAL DE SINOP MT","PORTAL_INTERMEDIARIO_TIMEOUT","Portal oficial → GP.SRV /home → Registre sua Manifestação → timeout","O link oficial abre o portal GP.SRV municipal com contato local e botão Registre sua Manifestação; seguir a rota do formulário expira sem renderização.","2026-09-21"
"123","Sorriso","https://site.sorriso.mt.gov.br/","https://site.sorriso.mt.gov.br/servicos/item?q=41&s=ouvidoria-geral-do-municipio","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Sorriso → Fala.BR → Cidadãos → Registrar Manifestação","Após link Clique Aqui e cartão Cidadãos, etapa de relato. É o formulário geral do Fala.BR, sem município pré-selecionado; conclusão exige autenticação Gov.br.","2026-09-21"
"124","São Félix do Araguaia","https://saofelixdoaraguaia.mt.gov.br/","https://saofelixdoaraguaia.mt.gov.br/","https://saofelixdoaraguaia.centi.com.br/ouvidoria","Ouvidoria | SÃO FELIX DO ARAGUAIA","FORMULARIO_FINAL_CONFIRMADO","Página inicial → link Ouvidoria no sistema Centi","Formulário com secretaria, assunto/motivo, descrição, sigilo/anônimo e dados de contato.","2026-09-21"
"125","São José do Povo","https://www.saojosedopovo.mt.gov.br/","https://www.saojosedopovo.mt.gov.br/transparencia/","https://www.saojosedopovo.mt.gov.br/transparencia/cadastrar-manifestacao/","","FORMULARIO_FINAL_CONFIRMADO","Transparência → e-SIC/Ouvidoria → Registrar Nova Manifestação","Nome/e-mail/cidade/estado, sigilo e forma de retorno; link Registrar Nova Manifestação.","2026-09-21"
"126","São José do Rio Claro","https://www.saojosedorioclaro.mt.gov.br/home","https://www.saojosedorioclaro.mt.gov.br/","https://prefsjrc.ouvidoriabr.com/protocolo/novo/19","Ouvidoria da Prefeitura de São José do Rio Claro","FORMULARIO_FINAL_CONFIRMADO","Portal oficial → Ouvidoria → Novo Protocolo","Novo Protocolo/Reclamação com nome, e-mail, CPF, mensagem e Salvar.","2026-09-21"
"127","São José do Xingu","https://www.saojosedoxingu.mt.gov.br/","https://ouvidoria.saojosedoxingu.mt.gov.br/","https://ouvidoria.saojosedoxingu.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de São José do Xingu","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, tipos e campos de contato.","2026-09-21"
"128","São José dos Quatro Marcos","https://saojosedosquatromarcos.mt.gov.br/","https://saojosedosquatromarcos.mt.gov.br/artigo/ouvidoria-municipal-6a0e02bf5ef9b","https://saojosedosquatromarcos.mt.gov.br/ouvidoria/anonima","Ouvidoria Anônima","FORMULARIO_FINAL_CONFIRMADO","/contato → manifestação identificada (login) → Ouvidoria Anônima","A página de contato aponta manifestação identificada que exige login; a rota anônima permite tipos, anexo, mensagem e Enviar.","2026-09-21"
"129","São Pedro da Cipa","https://www.saopedrodacipa.mt.gov.br/","https://www.saopedrodacipa.mt.gov.br/","https://www.saopedrodacipa.mt.gov.br/transparencia/cadastrar-manifestacao/","","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Registrar Nova Manifestação","Formulário de identificação, categoria, secretaria, assunto e relato; CAPTCHA visual não resolvido.","2026-09-21"
"130","Tabaporã","https://www.tabapora.mt.gov.br/home","https://www.gp.srv.br/adm_tabapora/ouvidoria/#/portal/1/home","https://tabapora.ouvidoriabr.com/protocolo/novo/1247","Ouvidoria da Prefeitura de Tabaporã","FORMULARIO_FINAL_CONFIRMADO","GP.SRV original (504) → Portal municipal → OuvidoriaBR → Novo Protocolo → Reclamação","A URL GP.SRV original retorna 504; o portal municipal publica link alternativo que abre Novo Protocolo/Reclamação com identificação, CPF, mensagem e Salvar.","2026-09-21"
"131","Tangará da Serra","https://tangaradaserra.mt.gov.br/","https://tangaradaserra.mt.gov.br/ouvidoria/","https://tangaradaserra.1doc.com.br/b.php?pg=wp/wp&itd=4","1Doc — Atendimento ao Cidadão: Ouvidoria","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Ouvidoria Municipal (1Doc)","Página de Atendimento ao Cidadão/Ouvidoria com opção de sigilo e campo de e-mail/Prosseguir; requer identificação por e-mail para avançar.","2026-09-21"
"132","Tapurah","https://www.tapurah.mt.gov.br/home","https://tapurah.mt.gov.br/","https://preftapurah.ouvidoriabr.com/protocolo/novo/240","Ouvidoria da Prefeitura de Tapurah","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria externa → Novo Protocolo → Reclamação","Novo Protocolo/Reclamação com nome/e-mail/CPF e mensagem.","2026-09-21"
